Block,Timestamp,st_yeth_crvusd
19623000,1712725163,5.891865416812193e+21
19623100,1712726363,5.86081986567166e+21
19623200,1712727563,5.860826853015596e+21
19623300,1712728787,5.872375554276182e+21
19623400,1712729987,5.872382546118999e+21
19623500,1712731187,5.872389535741721e+21
19623600,1712732399,5.882319302917712e+21
19623700,1712733599,5.882326302057516e+21
19623800,1712734799,5.882333300644173e+21
19623900,1712736011,5.877326175808498e+21
